나라,1차 접종률(%),날짜
Gibraltar,116.15,"['Jun', '12,']"
Pitcairn,100.0,"['Jun', '15,']"
Malta,79.83,2021_06_22
Falkland Islands,75.57,"['Apr', '14,']"
Isle of Man,73.4,2021_06_22
Seychelles,71.85,"['Jun', '18,']"
Saint Helena,71.83,"['May', '5,']"
Cayman Islands,71.52,"['Jun', '17,']"
Iceland,69.98,"['Jun', '17,']"
Nauru,68.65,"['Jun', '8,']"
Kuwait,67.32,"['Jun', '13,']"
Canada,66.52,2021_06_22
Bermuda,66.16,"['Jun', '14,']"
San Marino,65.33,2021_06_22
Jersey,64.45,"['Jun', '13,']"
United Kingdom,63.53,2021_06_22
Israel,63.49,2021_06_22
Chile,63.2,"['Jun', '18,']"
Bhutan,62.75,"['Jun', '13,']"
Aruba,62.63,2021_06_22
Uruguay,61.8,"['Jun', '18,']"
Bahrain,61.34,2021_06_22
Anguilla,61.21,"['Jun', '18,']"
Turks and Caicos Islands,58.63,"['Jun', '18,']"
Mongolia,58.33,2021_06_22
Maldives,58.3,"['Jun', '19,']"
Qatar,56.25,2021_06_22
Hungary,56.02,2021_06_22
Finland,55.55,2021_06_22
Belgium,54.62,2021_06_22
Cook Islands,54.59,"['Jun', '15,']"
Curacao,53.67,2021_06_22
Faeroe Islands,53.11,2021_06_22
United States,52.95,2021_06_22
Italy,51.99,2021_06_22
Denmark,51.98,2021_06_22
United Arab Emirates,51.38,"['Apr', '20,']"
Cyprus,50.59,"['Jun', '17,']"
Germany,50.47,2021_06_22
Netherlands,50.25,2021_06_22
Austria,49.55,2021_06_22
Guernsey,49.17,"['Apr', '20,']"
Spain,48.52,"['Jun', '17,']"
Monaco,48.0,"['Jun', '10,']"
Portugal,47.77,2021_06_22
Sint Maarten (Dutch part),47.47,"['Jun', '18,']"
France,47.34,"['Jun', '19,']"
European Union,47.05,2021_06_22
Liechtenstein,46.87,"['Jun', '16,']"
Singapore,46.16,"['Jun', '14,']"
Switzerland,45.28,"['Jun', '16,']"
Luxembourg,45.26,"['Jun', '18,']"
Ireland,44.91,"['Jun', '13,']"
Andorra,44.84,"['Jun', '14,']"
Czechia,44.6,2021_06_22
Lithuania,44.37,2021_06_22
Greece,43.43,2021_06_22
China,43.21,"['Jun', '10,']"
Sweden,42.73,"['Jun', '18,']"
Poland,42.68,2021_06_22
Dominican Republic,41.87,2021_06_22
Saint Kitts and Nevis,41.38,"['Jun', '15,']"
Estonia,41.03,2021_06_22
British Virgin Islands,41.03,"['Jun', '18,']"
North America,41.02,2021_06_22
Tuvalu,40.47,"['Jun', '15,']"
Norway,40.17,2021_06_22
Wallis and Futuna,39.75,"['Jun', '15,']"
Serbia,39.59,2021_06_22
Greenland,38.51,"['Jun', '18,']"
Slovenia,38.44,2021_06_22
Europe,38.15,2021_06_22
Antigua and Barbuda,36.36,"['Jun', '17,']"
Slovakia,35.5,2021_06_22
Croatia,35.34,2021_06_22
Latvia,33.65,2021_06_22
Turkey,33.35,2021_06_22
Argentina,31.86,2021_06_22
Macao,31.69,2021_06_22
Barbados,31.57,"['Jun', '17,']"
Mauritius,29.91,2021_06_22
Brazil,29.52,2021_06_22
South Korea,29.29,2021_06_22
Guyana,28.44,"['Jun', '16,']"
Dominica,27.97,"['Jun', '14,']"
Montserrat,27.89,"['Jun', '18,']"
Costa Rica,27.67,"['Jun', '14,']"
Tonga,27.09,"['Jun', '1,']"
Fiji,26.54,"['Jun', '15,']"
Hong Kong,25.88,2021_06_22
South America,25.81,2021_06_22
Morocco,25.4,"['Jun', '19,']"
Suriname,24.66,2021_06_22
Romania,24.09,2021_06_22
Montenegro,23.56,2021_06_22
French Polynesia,23.05,"['Jun', '15,']"
Australia,22.35,2021_06_22
Asia,22.01,2021_06_22
El Salvador,21.98,"['Jun', '18,']"
Bonaire Sint Eustatius and Saba,21.84,"['Apr', '9,']"
World,21.81,2021_06_22
Mexico,21.53,"['Jun', '19,']"
Panama,21.53,"['Jun', '19,']"
Jordan,20.59,2021_06_22
Samoa,20.28,"['Jun', '15,']"
Cambodia,20.13,2021_06_22
Colombia,19.99,2021_06_22
Cuba,19.81,"['Jun', '19,']"
Northern Cyprus,19.74,"['May', '27,']"
New Caledonia,19.36,"['Jun', '15,']"
Azerbaijan,19.23,2021_06_22
Belize,19.15,"['Jun', '17,']"
Albania,17.93,2021_06_22
Japan,17.74,2021_06_22
Grenada,16.91,"['Jun', '18,']"
Saint Vincent and the Grenadines,16.6,"['May', '19,']"
Saint Lucia,16.37,"['Jun', '19,']"
India,16.27,2021_06_22
Oceania,15.88,2021_06_22
Kazakhstan,14.61,2021_06_22
Bolivia,13.84,"['Jun', '18,']"
Bahamas,13.78,"['Jun', '19,']"
Russia,13.47,2021_06_22
Ecuador,13.33,"['Jun', '19,']"
North Macedonia,13.19,"['Jun', '17,']"
Bulgaria,13.12,2021_06_22
Malaysia,12.98,2021_06_22
Trinidad and Tobago,12.64,2021_06_22
Brunei,12.57,"['Jun', '19,']"
New Zealand,11.76,"['Jun', '15,']"
Sri Lanka,11.47,2021_06_22
Peru,11.46,"['Jun', '18,']"
Lebanon,11.16,2021_06_22
Cape Verde,10.93,2021_06_22
Equatorial Guinea,10.59,"['Jun', '17,']"
Oman,10.49,"['Jun', '15,']"
Laos,10.36,"['Jun', '19,']"
Moldova,9.95,2021_06_22
Tunisia,9.86,2021_06_22
Palestine,8.73,"['Jun', '19,']"
Nepal,8.58,"['Jun', '19,']"
Indonesia,8.42,2021_06_22
Timor,7.87,"['Jun', '15,']"
Thailand,7.86,"['Jun', '19,']"
Bosnia and Herzegovina,7.7,"['Jun', '13,']"
Belarus,7.4,"['Jun', '13,']"
Botswana,6.38,"['Jun', '7,']"
Kosovo,6.0,2021_06_22
Paraguay,5.92,"['Jun', '17,']"
Georgia,5.88,2021_06_22
Philippines,5.71,2021_06_22
Algeria,5.7,"['Jun', '6,']"
Sao Tome and Principe,5.65,"['Jun', '14,']"
Jamaica,5.51,"['Jun', '11,']"
Libya,5.11,"['Jun', '16,']"
Comoros,4.96,"['Jun', '8,']"
Honduras,4.89,"['Jun', '18,']"
Uzbekistan,4.85,"['Jun', '15,']"
Iran,4.74,"['Jun', '14,']"
Zimbabwe,4.73,2021_06_22
Pakistan,4.62,"['Jun', '19,']"
Taiwan,4.14,"['Jun', '15,']"
Namibia,4.1,2021_06_22
Ukraine,3.95,2021_06_22
Venezuela,3.79,"['Jun', '18,']"
Guatemala,3.69,"['Jun', '19,']"
South Africa,3.61,"['Jun', '19,']"
Bangladesh,3.54,"['Jun', '19,']"
Togo,3.27,"['Jun', '10,']"
Myanmar,3.26,"['May', '13,']"
Egypt,3.24,2021_06_22
Eswatini,3.04,"['May', '13,']"
Senegal,2.87,"['Jun', '15,']"
Mauritania,2.77,2021_06_22
Cote d'Ivoire,2.75,2021_06_22
Ghana,2.74,2021_06_22
Rwanda,2.71,"['Jun', '6,']"
Angola,2.64,2021_06_22
Guinea,2.56,"['Jun', '17,']"
Nicaragua,2.53,"['May', '21,']"
Solomon Islands,2.47,"['Jun', '8,']"
Africa,2.44,2021_06_22
Vietnam,2.36,2021_06_22
Malawi,2.0,"['Jun', '19,']"
Kenya,1.85,2021_06_22
Uganda,1.8,"['Jun', '16,']"
Lesotho,1.71,"['May', '21,']"
Vanuatu,1.67,"['Jun', '15,']"
Ethiopia,1.65,"['Jun', '8,']"
Armenia,1.57,"['Jun', '6,']"
Kyrgyzstan,1.35,"['Jun', '9,']"
Liberia,1.35,2021_06_22
Gabon,1.32,"['Jun', '18,']"
Djibouti,1.27,"['Jun', '1,']"
Gambia,1.26,"['Jun', '8,']"
Afghanistan,1.25,"['Jun', '14,']"
Iraq,1.23,"['Jun', '14,']"
Sudan,1.16,2021_06_22
Sierra Leone,1.03,2021_06_22
Mozambique,1.02,"['Jun', '10,']"
Guinea-Bissau,0.95,"['Jun', '8,']"
Nigeria,0.95,"['Jun', '4,']"
Tajikistan,0.93,"['Jun', '13,']"
Somalia,0.85,"['Jun', '18,']"
Central African Republic,0.85,"['Jun', '15,']"
Yemen,0.84,2021_06_22
Zambia,0.77,"['Jun', '15,']"
Niger,0.71,"['Jun', '14,']"
Madagascar,0.68,2021_06_22
Mali,0.64,2021_06_22
Turkmenistan,0.53,"['Apr', '4,']"
Papua New Guinea,0.43,"['Jun', '7,']"
Syria,0.41,"['Jun', '6,']"
Congo,0.41,"['May', '18,']"
Cameroon,0.3,2021_06_22
South Sudan,0.24,2021_06_22
Benin,0.18,"['Jun', '8,']"
Burkina Faso,0.09,"['Jun', '14,']"
Democratic Republic of Congo,0.05,2021_06_22
Chad,0.03,"['Jun', '10,']"
